결과1	결과2	의미	해설1	해설2	해설3	해설4	처방1	처방2	처방3	처방4	처방5	처방6	처방7	처방8	처방9	처방10	처방11	처방12	처방13	처방14	처방15
칠정		정신적 스트레스 관련 증후군	현재 당시는 정신적 스트레스로 인해 각종 신체적 불편함에 시달리고 있습니다. 정신적 압박이 계속되면 식욕이 줄고 수면이 불량해 집니다. 또한 이유없이 불안하거나 가슴이 내려앉는 느낌이 종종 발생할 수 있습니다. 스트레스의 원인을 없앨 수 없다면 이러한 신체적 불편함을 해소하여 악순환을 끊어야 합니다.	"마음과 몸은 하나로 작동합니다. 마음이 괴롭고 힘들 때 몸도 그 영향을 받을 수 밖에 없습니다. 가슴이 답답해지고, 배고픔을 잘 못 느끼고, 먹어도 먹은 것 같지 않고 잠이 오지 않거나 자다가 깜짝 놀라며 깨기도 합니다. 오랜 시간 이 상태가 지속되면 점점 ‘심력’이 고갈 되죠. 생각이 떠오를 듯 말 듯 하면서 잘 이어지지 않거나 뭘 생각하고 있었는 지 흐름을 잃어 버리기도 하죠. 계속 깜빡깜빡하고 중요한 일을 잊어 버린다거나 하기도 합니다.
내키지는 않겠지만 햇빛을 받으면서 하는 산책이나 조깅. 명상. 그리고 스트레스를 줄여 주는 티 타임이 도움이 될 수 있습니다."	"현재 정신적인 스트레스로 건강상태가 좋지 않아요. 스트레스가가 지속되면 식욕이 줄고 수면의 질이 나빠질 수 있어요. 그리고, 이유 없이 불안하거나 가슴이 내려앉는 느낌이 종종 나타날 수도 있고요. 그러니까 하루 빨리 스트레스에서 벗어나야 해요!"	"현재 정신적인 스트레스로 건강상태가 좋지 않아요. 스트레스가 지속되면 식욕이 줄고 수면의 질이 나빠질 수 있어요. 그리고, 이유 없이 불안하거나 가슴이 내려앉는 느낌이 종종 나타날 수도 있고요. 그러니까 하루 빨리 스트레스에서 벗어나야 해요! 그럼, 5분만 산책을 해보면 어떨까요? "	산조인	원지	복령	소맥	향부자	용안육	반하	시호	박하	후박	귀비탕	사칠탕	모과	생강	
노권		육체적 과로 증후군	"지속된 육체적 과로에의해 당신의 신체능력이 저하된 상태입니다. 일상에서 때때로 피곤함이 생길 수 있지만,  지금 같은 상태에서는 휴식을 취해도 몸에 힘이 없으며, 이유없는 미열이 발생하거나 목소리의 발성이 예전만 못하게 되는 경우가 있습니다. 휴식을 취해야 하지만 의학적인 도움을 받으면 빠른 회복이 가능합니다."	"사람은 누구나 일을 하면 피로감을 느끼죠. 건강의 기준선은 자고 일어났을 때 안 피곤해야 합니다. 아침에 자고 일어났을 때 피곤하지 않다는 것은 어제까지의 피로가 회복이 완료되었다는 이야기거든요. 하지만 살면서 항상 개운하게 일어난 사람은 거의 없을 겁니다. 현대인들은 매우 바쁘고, 늦게까지 일을 하고, 사람들을 만나기도 하죠. 아침에 일어나서 개운하지 않다면 그 다음날은 무리하지 않는 것이 좋습니다. 그러나 또 무리하게 되는 경우들이 많죠.
피로가 쌓이고 쌓이고, 또 쌓이게 되면 점점 인체에 영향을 주게 됩니다. 일을 할 땐 잘 못 느꼈는데 집에서 쉬려고 하는 그 순간, 온몸 여기 저기를 두드리는 듯한 근육통, 일을 시작하기 전에 점점 느려지고 무거워지는 팔다리, 점점 소화도 잘 안 되는 것 같아지고, 여기 저기 아프기도 하고 가벼운 감기도 쉽게 회복이 되지 않는 기분이 들게 됩니다… 무엇 보다 생각이 잘 되지 않습니다. 창조적인 일을 하는 사람에겐 특히 치명적인 상황이죠. 아이디어를 짜내려고 해도 도무지 나올 수가 없습니다.
그럴 땐 피로를 회복하기 위한 휴식이 필요합니다. 말 그대로 하루를 완전히 쉴 수 있는 시간으로 만들거나, 짧은 휴가도 좋은 해결책이죠. 그리고 매일 같이 차 한 잔을 곁들인 휴식 시간은 피로를 좀 더 잘 컨트롤할 수 있도록 도와줄 수 있습니다."	계속 무리를 하셔셔 몸이 항상 피곤한 상태시군요. 말하는 것조차 싫으시죠? 이런 경우 휴식을 취해도 피로가 쉽게 회복되지 않거나 오히려 심해지는 경우가 많아요. 이럴땐 휴식을 취하는 게 가장 좋은 방법이예요!	계속 무리를 하셔셔 몸이 항상 피곤한 상태시군요. 말하는 것조차 싫으시죠? 이런 경우 휴식을 취해도 피로가 쉽게 회복되지 않거나 오히려 심해지는 경우가 많아요. 이럴땐 휴식을 취하는 게 가장 좋은 방법이예요! 이번 주말엔 집에서 푹 쉬시는건 어떨까요? 그럼 빠르게 회복하실 수 있을 꺼예요. 	구기자	오미자	홍경천	동충하초	토사자	용안육	녹용	인삼	서양삼	복분자	산수유	황기	보중익기탕		
담음		대사기능 저하 관련 증후군	"이 상태는 전통의학 이론에서도 매우 복잡한 양상을 띄고 있습니다. 두통이 있거나 어지러운 등 신경학적 증상이 존재하며, 소화기의 기능이 같이 저하되는 경우가 많습니다. 쉽게 피로를 느끼며, 트히 몸의 이곳저곳의 관절이 아프거나 피부 증상이 나타나기도 합니다. 기침이 자주 나거나 목에 가래가 끓는 등 호흡기의 문제로 나타나기도 합니다. 전통의학에서는 특별히 불편한 증상을 명확히 지적하기 힘든 이 상태는 많은 병의 원인이 된다고 하였습니다."	"뭔가 불편한 느낌. 의사를 만나도 설명하기 참 난감한, 불편한 느낌.
아프다고 하기엔 크게 아픈 것 같진 않은데, 이상하게 피곤하고 불편하고 뭔가 몸이 정상은 아닌 것 같은, 그런 불편한 상태가 지속되는 경우가 있습니다. ‘담음’ 상태입니다. 특히 머리가 멍하고 무거운 느낌과 함께 가벼운 어지러움을 자주 느끼기도 합니다. 통증도 여기가 아팠다가 저기가 아팠다가 하지만 특별히 뚜렷한 이상이 있는 것도 아닌 애매한 상태. 하지만 확실한 건 뭔가 불편하다는 느낌만은 분명하게 느낄 수 있습니다.
한의학에서는 ‘흐름이 원활하지 않다’고 표현합니다. 무언가 자연스럽지 않다는 의미죠. 뭔가 답답하고 불쾌하고 불편하지만 의사도 뚜렷하게 어떤 병이라고 하지 않고, 점점 피곤해지기는 하는데 검사에선 계속 특별한 이상 없이 약간의 고지혈증, 약간의 지방간 정도만 나오고 있다면 이 ‘담음’ 상태일 가능성이 높습니다."	"전반적으로 대사기능이 저하되어 있으시군요. 이런 상태가 계속되면 자주 두통이 생기거나 어지러울 수 있고, 소화기 기능이 약해질 수 있어요. 특히 몸의 이곳저곳이 아프거나, 기침이 자주 난다거나 가래가 끓는 호흡기의 문제로도 나타날 수 있어요."	"전반적으로 대사기능이 저하되어 있으시군요. 이런 상태가 계속되면 자주 두통이 생기거나 어지러울 수 있고, 소화기 기능이 약해질 수 있어요. 특히 몸의 이곳저곳이 아프거나, 기침이 자주 난다거나 가래가 끓는 호흡기의 문제로도 나타날 수 있어요. 특별히 증상을 명확히 설명하기도 힘든 상태라면 많은 병의 원인이 될 수 있으니 빠른 시일 내에 병원을 한번 방문해 보는 것이 좋은 방법 이예요. 주변에 적합한 병원 예약을 해드릴까요?"	반하	건강	고량강	택사	복령	후박	이진탕								
식적		식습관 관련 소화기 증후군	"불량한 식사 및 불규칙한 식습관과 매우 밀접하게 관련되어 있는 이 증상은 섭취한 음식이 정상적인 시간내에 소화가 되지 못하고 위에 남아있거나, 소화기능이 원활하지 못해서 발생하는 증후군으로, 식욕저하, 소화불량, 복통 및 설사등을 유발합니다. 그 외에도 소화기 기능의 저하로 인하여 무기력함이나 피로가 나타날 수 있습니다. 선천적으로 소화기가 약한분들은 이 상태에 더 취약할 수 있습니다. 급성이 경우는 쉽게 관리가 가능한데 비해, 만성적인 경우는 그리 쉬운 문제가 아닙니다."	"몸의 불편감이 식사 후에 더 심해지지는 않나요? 식사 전에는 분명 괜찮았던 것 같은데 음식을 먹거나 특히 과식을 하게 되면 확실하게 나타나는 불편 증상들이 있습니다. 한의학에서는 ‘식적’이라고 부릅니다. 대부분의 증상은 복통이나 대변, 설사 같은 음식과 직접적인 관련이 있기 때문에 자연스럽게 받아 들일 수 있고 식사량을 줄이는 등 생활 습관의 교정으로 많이 완화가 되는 편입니다.
그러나 식적 상태가 지속되는 경우, 음식 섭취와 관계 없이 몸이 무겁고 쉽게 지치는 느낌, 식사와 관계 없이 배가 지속적으로 아픈 것 같기도 하고 아프지 않은 것 같기도 한 이상한 불편감, 아래쪽에서부터 치밀어 오르는 듯한 트림과 신물, 반복되는 사레들림 같은 기침 등의 다양한 증상들이 계속될 수 있습니다. 평소에도 소화를 도와주는 차로 꾸준히 관리를 해주고, 과식, 폭식을 하지 않도록 주의를 계속 기울이시면, 더 즐거운 식사 시간이 되지 않을까요? 다이어트에도 좋습니다."	"식사가 불규칙하시거나 식습관이 좋지 않은 것 같아요. 요즘 들어 입맛이 없거나, 소화가 잘 안되거나 복통 등이 있었나 생각해 보세요! 이런 증상이 계속되면 배가 아프고 설사를 할 수도 있어요. 타고나게 소화기가 약하신 분들이라면 증상이 더 안 좋게 나타나실 수 있어요."	"식사가 불규칙하시거나 식습관이 좋지 않은 것 같아요. 요즘 들어 입맛이 없거나, 소화가 잘 안되거나 복통 등이 있었나 생각해 보세요! 이런 증상이 계속되면 배가 아프고 설사를 할 수도 있어요. 타고나게 소화기가 약하신 분들이라면 증상이 더 안 좋게 나타나실 수 있어요. 참지 말고 가까운 병원을 방문해 보세요! 금방 좋아지실 꺼 예요. "	백출	창출	목향	후박	백두구	사인	산사	정향	당삼	지실	신곡	맥아	나복자	평위산	
어혈		"조직손상, 혈류이상 관련 증후군"	"이 상태는 외상에의한 타박상, 멍, 출혈등 국소의 조직손상 뿐 아니라 다양한 이유에의한 혈류장애, 그리고 여성들의 생리문제와 관련되어 있습니다. 다른 사람들보다 쉽게 멍이 든다거나, 저린 증상이 비교적 자주 발생할 수 있습니다. 피부아래 정맥의 영향으로 피부의 색깔이 푸르거나 자주색을 띄는 경우가 많습니다. 만일 신체 특정 부위에 통증이 있을 경우 야간에 심한 경우 또는 찌르는 듯한 통증양상이 특징적입니다. 통증으로 인해 삶의 질이 심각하게 떨어질 수 있으므로 반드시 전문 의료인의 도움을 받으셔야 합니다."		현재 몸에 혈액이 제대로 돌지 못해서 한 곳에 정체되어 있을 수 있어요. 만약 몸의 특정 부위에 통증이 있거나 특히 밤에 심하게 아플 수 있어요. 특히 여성의 경우 생리통이 심하거나 생리 주기가 불규칙한 경우가 있을 수 있어요. 이런 증상이 계속되면 통증이 심해져서 하루하루가 괴로울 수 있어요.	현재 몸에 혈액이 제대로 돌지 못해서 한 곳에 정체되어 있을 수 있어요. 만약 몸의 특정 부위에 통증이 있거나 특히 밤에 심하게 아플 수 있어요. 특히 여성의 경우 생리통이 심하거나 생리 주기가 불규칙한 경우가 있을 수 있어요. 이런 증상이 계속되면 통증이 심해져서 하루하루가 괴로울 수 있어요. 가까운 한의원에 가서 의사선생님과 상담을 해보시는건 어떨까요?	단삼	당귀	천궁	강황	목단피	도인	당귀수산	계지복령환							
칠정	노권		"당신은 현재 몸과 마음이 모두 지친 상태입니다. 육체적 스트레스와 정신적 스트레스가 서로를 유발하는 악순환 상태이며, 이로부터 탈출하기 위해서는 보다 적극적으로 생활을 교정할 필요가 있습니다. 육체적인 휴식과 더불어 삶의 긴장을 풀어줄 수 있는 당신만의 시간이 반드시 필요합니다. 관리를 소홀히 하게 되면 각종 불편한 증상들이 당장 나타날 것입니다."	"피곤해서 쓰러져 잠들 것만 같은데, 눕기만 하면 오히려 또렷해지는 정신. 그렇게 뒤척이다 새벽이 다가와야 어느새 잠 드는 지도 모르고 잠이 들었다 깬 채로 힘들게 하루를 시작하고 있지는 않은가요? 그렇게 밤낮이 자신도 모르게 바뀌고 점점 피로는 더 쌓여 가고 있진 않은가요? 현대인들이 겪고 있는 지속적인 스트레스 상황은 수면 패턴을 바꿀 뿐 아니라 재충전도 느리게 만듭니다.
익숙해져 버린 피로에는 점점 무뎌져 가더라도, 자신의 성격이 일을 시작하기 전과 지금 바뀌었다거나 하는 생각을 해보시진 않으셨나요? 좀 더 짜증스럽게 변하거나 쉽게 화가 나거나 눈물이 나는 등 감정의 변화가 생겼다면 이완의 시간이 그만큼 필요하다는 신호입니다. 시간을 내서 휴가를 갖거나 하기 힘들다면 사무실에서 조용하게 따뜻한 물에 차를 내려 보세요. 차의 성분도 성분이지만, 차를 준비하는 시간 동안 마음이 자연스럽게 평온해지는 것을 느끼실 수 있을 겁니다."	"현재 몸과 마음이 모두 지친상태시군요. 몸과 마음이 서로를 자극해 건강이 안좋은 상태예요. 이 상태를 극복하기 위해서는 충분히 휴식을 취하고, 당신만의 시간을 가져보는 것이 반드시 필요해요."	"현재 몸과 마음이 모두 지친상태시군요. 몸과 마음이 서로를 자극해 건강이 안좋은 상태예요. 이 상태를 극복하기 위해서는 충분히 휴식을 취하고, 당신만의 시간을 가져보는 것이 반드시 필요해요. 시간적 여유가 없다면 하루에 10분씩 명상을 해보는건 어떨까요?"	NULL														
칠정	담음		"칠정과 담음 상태인 당신은 정신적 스트레스로 인하여 매우 다양한 형태의 증상에 시달리고 있습니다. 전반적으로 신경학적 증상과 소화기 증상, 호흡기 증상들이 발생하고 있으며, 일관성이 없이 다양하게 나타날 수도 있습니다. 정신적 스트레스로 인해 위의 증상들이 발생할 수 있으며, 이러한 증상들로 인해 낮아진 삶의 질이 다시 정신적 스트레스를 유발할 수 있습니다. 전반적으로 삶의 활력이 떨어진 당신은 소화기 증상과 수면 관련 증상들을 우선적으로 완화할 필요가 있습니다. 목에 무언가 걸린듯한 증상이 지속된다면, 전통의학의 도움을 받으세요."	"우리가 음식을 먹으면, 음식은 목구멍에서 위까지 연결된 통로를 지나가게 됩니다. 이 통로는 아주 특별한 경우를 제외하면 무언가가 걸려 있거나 길을 막히거나 하는 일이 거의 없습니다. 예를 들어 날카로운 가시 같은 것이 박혀 있다거나 식도의 일부가 찢어지거나 종양이 자라나서 길을 막는다거나 너무 심한 수축으로 식도 아래쪽이 긴장되어 있거나 하는 경우들을 제외한다면 말이죠.
그런데 이상하게 목에 뭔가 간질간질 걸려 있는 것만 같고, 가슴 아래쪽에서 뭔가 걸려 있거나 치밀어 오르는 느낌이 들 때가 있습니다. 한국에서는 씨앗 하나가 목에 걸려 있다고 해서 ‘매핵기’라고 부르는데요. 삼키려고 해도 삼켜지지 않고 걸려 있는 것 같고 칵칵 거리면서 힘겹게 뱉어내려고 해봐도 전혀 나오는 것은 없습니다. 심지어 내시경이나 다른 검사에서도 걸려 있는 것이 발견되지 않습니다. 심지어 이 상황은 과식이나 피로, 스트레스에 따라 반복적으로 나타나기도 합니다. 이럴 땐 스트레스를 해소해주고 과식을 피하고 소화기관의 기능적인 균형을 잡아주는 치료를 권하고 있습니다."	 정신적 스트레스로 매우 다양한 증상에 시달리고 계시군요. 만병의 근원이 스트레스라고 하잖아요? 스트레스 때문에 몸이 아프고 몸이 아프니 스트레스 받고... 삶의 활력이 떨어진 상태네요. 우선 소화기 계통과 수면 관련 증상들을 해결해야 해요! 그럼 조금씩 건강 상태가 좋아지실 꺼예요.	정신적 스트레스로 매우 다양한 증상에 시달리고 계시군요. 만병의 근원이 스트레스라고 하잖아요? 스트레스 때문에 몸이 아프고 몸이 아프니 스트레스 받고... 삶의 활력이 떨어진 상태네요. 우선 소화기 계통과 수면 관련 증상들을 해결해야 해요! 그럼 조금씩 건강 상태가 좋아지실 꺼예요. 그 비법이 궁금하시죠? 제가 알려드릴 수 있어요.	NULL														
